chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Y	18906	16303	345	1081	666	424	597	1097	378
Y	12467	13152	445	1572	839	595	783	1669	609
Z	7535	16440				1379			382
Z	1644	17399				923			344
Z	10823	14248				1646			471
Y	13289	21098	298	1068	591	332	635	1222	371
Y	7672	16988	282	961	570	425	642	821	314
Y	2877	10960	335	1186	647	415	680	1012	411
W	1644	5480	404	672		367	587	658	575
Y	10823	11234	392	1614	825	616	948	1897	695
X	137	2603	573	553			879	851	1088
Y	7672	21509	288	921	494	289	502	798	372
Z	15755	19728				1319			405
Y	20961	20687	577	2204	974	816	1437	1924	828
Z	3151	19728				952			222
X	6987	16029	420	490			725	747	1010
Y	9727	19180	281	840	486	383	520	970	455
Z	8083	22057				617			191
Z	11508	25893				991			381
Z	6165	26167				420			160
Y	9727	17810	255	852	346	333	538	963	301
Z	15755	24112				1618			520
Y	2740	14796	241	958	414	283	391	639	285
Z	2603	5891				1704			620
X	9453	10960	599	824			1372	1504	1327
Y	6302	20687	363	1026	443	410	464	736	297
Y	2740	16851	189	820	272	224	381	652	241
Z	22742	27126				1392			361
W	5343	9316	354	921		369	696	785	680
Z	9727	23975				720			282
W	3288	5343	536	709		460	712	838	585
W	137	10138	168	383		152	276	352	325
Y	12878	18084	228	1080	482	483	795	1335	467
Y	9042	14522	321	1478	694	562	688	1191	414
Z	6850	22468				706			175
Y	13837	16440	274	1212	622	465	689	1205	473
Y	14385	15892	343	1473	749	595	758	1490	531
Y	7261	17536	284	852	458	277	562	741	275
Y	5206	17262	143	610	323	212	304	627	240
Y	3151	11645	259	1175	561	359	760	938	452
Y	8631	17810	237	929	387	284	492	812	273
X	7261	11919	663	836			1301	1226	1408
Z	3973	22605				954			233
Z	13152	20687				974			314
Y	4658	8905	326	1371	656	407	852	1156	394
W	9042	9864	582	830		530	932	966	677
Y	18906	14933	259	1119	749	445	834	1316	453
Y	18906	17673	384	1560	626	476	853	1318	381
Y	21372	19317	362	1079	617	532	815	1475	470
Y	13837	16714	288	1260	630	436	727	1373	396
X	2192	2192	600	948		479	989	1212	1296
W	4110	5480	558	909		525	880	887	910
Y	10275	15618	324	1578	791	475	842	1545	496
Z	18221	24523				991			330
Y	9727	13015	423	1331	853	455	805	1116	466
Y	13563	21235	258	1201	484	387	584	1129	371
Y	2603	19865		477	185	159	242	382	138
Z	0	22605				594			85
Z	13015	25619				1007			360
Z	10412	26441				898			207
Z	19180	24112				1098			354
Z	10275	10275				1725			660
Z	16029	22879				1317			522
Z	20002	25482				1024			384
Z	3699	12604				1155			402
Z	274	21372				386			94
Z	9864	18084				1402			391
X	685	2740	417	728			1112	1069	1050
Z	8083	12467				1492			484
Z	9727	11234				1756			568
Y	274	3151	324	1303	550	428	737	1247	539
W	5343	10275	424	713		402	615	635	713
Y	6439	13152	337	1361	783	410	694	1501	457
Z	10275	21783				1018			368
Z	24797	26578				1584			505
Y	7946	11097	532	1175	860	500	826	1482	687
Y	10138	17947	228	921	500	310	482	956	289
Z	18769	27263				741			270
Y	1644	21783	59	386	82	86	115	265	66
Z	25756	26852				1262			537
X	5891	9042	802	909			1517	1970	1849
Z	8494	18906				836			306
Z	6987	12604				1448			377
Z	14111	23427				1064			280
Z	13974	15892				1864			625
Z	7261	15618				1604			521
Z	5754	17262				1219			361
Y	10275	11645	401	1623	903	630	1171	1823	670
Z	9316	20824				1021			364
Z	12056	17262				1513			516
Z	9590	15207				1336			527
Y	8905	10001	527	1665	955	734	1223	2052	594
X	3151	5069	771	997			1428	1544	1589
Z	2192	25071				642			173
Z	3836	18769				902			270
W	6302	6302	754	1369		789	1138	1229	1104
X	12604	14796	642	752			1065	1048	1375
X	11782	13015	772	855		604	1516	1387	1350
Y	274	6028	306	1708	641	406	518	1099	510
X	10823	13015	814	821			1493	1641	1362
Y	822	8768	221	968	543	293	564	929	330
Z	11645	20687				1087			310
X	3699	3699	1123	1111		720	1578	1704	1998
Z	12467	22057				868			307
Z	3836	9042				1452			488
Y	9864	10275	418	2054	972	583	1146	1807	704
X	2192	11645	286	386			537	607	891
Z	3151	17399				1078			429
Z	7261	12741				1231			461
Z	2877	26989				349			81
Z	12330	23153				1063			326
X	3425	15070	175	408			371	329	365
X	13152	13289	627	756			1461	1280	1607
Z	18632	19180				1263			429
Y	4932	14385	329	1227	492	354	494	949	401
Z	8357	17536				955			318
Z	10823	15618				1762			422
Z	12193	23838				824			278
Z	4795	7261				1414			418
Z	8220	12330				1466			469
Z	1233	12056				1229			361
Y	8220	10138	394	1653	827	564	852	1504	515
Z	3973	13289				1132			460
X	1233	10960	397	534			680	813	994
Z	2055	9864				1126			369
X	1644	6302	616	589			1084	983	1106
Z	9179	11919				1424			487
Z	4521	19180				790			307
Y	9864	16988	343	1356	550	469	672	1185	452
Z	5206	25482				615			196
X	3288	6028	878	941			1652	1625	1931
Y	11097	21098	342	1703	568	472	614	1176	529
Z	23701	25893				1388			524
Y	959	19454	197	471	325	161	342	722	151
Y	2055	6165	329	1271	736	381	656	1455	380
Y	3836	13015	197	1204	415	367	681	1261	368
Y	1370	12741	216	790	488	247	419	653	284
Z	2740	20413				527			179
X	2329	11234	300	405			635	889	724
Y	6302	15207	317	1360	670	516	811	1368	462
Y	9179	17947	195	921	405	333	514	857	286
Y	1233	11782	183	795	365	287	485	835	337
X	8083	12741	458	557			886	913	1080
Z	11782	24112				816			261
Z	3288	23838				455			150
X	13563	14659	649	920			1115	1120	1291
Y	13974	18495	381	1596	821	499	803	1366	505
Z	1781	2877				1972			643
Z	12741	16851				1554			463
X	137	12056	267	344			535	440	610
Z	21235	24797				831			296
Y	11782	12330	415	1731	980	667	1050	1667	621
Z	23838	26578				1681			439
Y	5343	11097	271	1344	587	411	698	1113	369
Y	411	21372	32	234	103	47	161	444	58
X	7124	7535	779	1008			1422	1532	1980
X	5754	12878	500	592			809	1135	954
W	411	4795	322	668		466	549	511	720
Z	16029	19454				1137			393
Y	959	16988	82	330	155	106	248	332	159
Z	4247	18495				1074			290
Z	3151	13974				1321			398
Y	5754	19865		1527	613	375	510	715	288
X	8494	13837	593	529			1090	1014	1037
X	3288	8905	668	749			1265	1104	1343
Y	6850	12604	420	1291	932	618	838	1155	624
Y	8631	21235	268	934	660	386	522	804	486
Y	1644	2740	366	1609	792	503	1001	1292	553
Y	959	18632	184	445	250	132	236	603	195
Y	18906	16714	306	927	635	396	611	999	406
Y	14522	16851	373	1555	726	447	638	1026	478
X	10001	12193	721	885			1118	1230	1094
Y	14111	20824	325	1265	681	439	867	1219	407
W	137	4521	370	797		444	537	668	599
Z	20002	23153				1171			367
Z	5343	17125				1040			414
Y	274	6439	324	1284	544	409	863	1597	429
Z	10686	12056				1537			551
Y	4384	8083	388	1746	730	571	929	1329	669
Y	13974	19317	371	1480	787	462	889	1642	497
Z	1644	19317				465			228
X	3699	13837	336	552			760	828	820
Z	14796	24249				1009			346
Z	21646	25208				1004			373
Z	10138	22468				1122			328
Y	12056	14659	459	1714	814	538	883	1487	522
Z	5206	24797				643			208
Z	9316	15070				1561			497
Z	19317	21920				1057			366
Z	411	1644				1868			779
Y	5069	15755	210	831	401	245	397	672	235
Y	5754	6165	475	1799	1096	680	1239	1826	620
Z	0	1370				1635			525
Z	14933	16440				1804			510
Z	5617	9042				1609			489
Y	5206	9453	321	1482	650	485	683	1396	472
W	5343	7261	468	1038		513	899	945	810
X	685	8768	352	387			675	535	695
Z	7809	14522				1222			460
Y	2192	2466	352	1657	859	533	971	1411	519
Z	18221	21509				1231			423
W	5480	8905	373	549		311	528	561	571
X	4795	5891	910	1090			1916	1948	2101
W	3288	3836	601	1276		555	981	780	946
Z	7261	23564				669			313
Z	5069	20139				659			231
Z	13563	14111				1633			700
Y	548	548	385	1514	918	519	917	1792	522
Z	1918	17125				766			257
Z	3151	17262				1650			332
Z	14385	16029				1781			501
Y	6576	10823	507	1741	924	692	883	1933	565
Z	18632	23838				1361			353
Z	10138	14659				1635			557
Y	11371	15618	447	1473	720	550	838	1317	508
Z	10001	22057				1267			317
Z	15755	22605				1174			446
X	959	7809	331	510			730	606	850
Y	548	21783	159	191	141	99	59	220	88
Z	24660	25893				1322			550
Y	685	17262	106	303	167	109	200	368	122
Z	6439	7535				1279			440
Z	2329	13015				1100			356
Z	8905	16714				1447			358
Y	5891	16029	225	929	436	322	455	761	293
Y	4247	4658	348	1519	748	561	773	1859	509
Z	3425	11234				1277			446
X	1507	1507	713	953			1268	1370	1351
Z	1918	14659				909			430
W	411	411	633	1044		526	1131	970	802
Z	12741	24523				895			430
W	1507	8768	141	229		135	252	214	276
W	685	4658	290	678		376	528	633	694
Z	3151	19043				748			280
Z	6165	17810				1086			331
Z	18495	25071				1115			322
Z	2603	4521				1450			526
Z	10412	10412				1681			704
W	3562	9179	286	503		262	492	575	431
Z	15892	20276				1133			443
X	1781	4110	522	797			1242	1554	1697
W	2466	5891	287	580		318	529	660	552
Y	8357	17810	254	1017	394	398	705	1151	359
Z	2329	10823				1037			413
X	9453	12193	512	724			863	1073	1116
Z	7672	13289				1061			397
Z	411	3014				1609			525
W	1507	6850	316	776		339	485	565	563
Z	137	24934				400			135
Z	3288	19454				757			278
W	1096	9453	240	345		300	260	340	258
X	1370	4932	743	628			1132	968	1006
Y	11371	19317	267	949	604	325	523	898	349
Y	8631	10275	443	1741	878	586	1003	1597	620
Z	15344	21235				1251			434
Z	8494	20961				700			223
X	7946	13837	590	602			872	840	1161
Z	3562	9864				1644			473
Z	1507	27126				519			188
X	1370	5754	511	590			866	895	1146
X	685	13700	112	241			287	310	403
Z	13015	13700				2007			545
X	8631	13289	515	614			1272	1093	1377
Z	4795	5480				1676			504
Z	8768	9453				1698			578
Y	13289	19180	311	1437	665	666	895	1570	593
Z	8357	19591				830			283
Z	4110	18221				823			293
X	1233	13152	241	346			666	547	671
W	685	822	484	997		538	806	877	1101
W	9453	9453	580	935		731	902	960	1073
Z	5754	16851				998			343
Z	6713	9864				1180			468
Y	15618	15481	464	1744	894	637	917	1747	497
Z	15481	21920				954			345
Z	23290	26167				1609			542
Y	4658	16303	147	747	282	212	309	677	201
Z	10549	10549				1837			560
W	6850	7261	698	1255		816	937	1321	1330
X	1781	13015	183	384			565	572	611
Z	2466	12467				1240			498
Z	23701	24386				1803			667
Z	1370	26989				608			118
Y	16851	16714	262	1279	764	531	892	1306	519
Z	25756	27126				1098			443
X	7124	12193	652	788			1040	1087	1426
W	3699	8768	397	637		499	686	613	661
X	14659	15207	713	825			1292	1277	1642
Y	12741	20413	336	1220	653	398	751	893	512
Z	5891	22331				610			253
Z	20824	25756				1208			340
Z	9179	17125				1213			506
W	4247	4384	702	1634		709	1283	1235	1366
X	12467	13289	551	793			1190	1177	1144
X	6302	12056	481	658			911	956	1117
Z	12604	21372				801			312
Y	1233	2055	342	1205	689	485	873	1165	444
W	1507	4795	334	741		463	534	581	560
W	7535	9864	537	1005		561	789	953	809
Z	19591	21783				1170			364
Z	9590	11097				1657			655
W	4521	7809	317	789		423	549	804	590
Y	6850	20687	321	1313	595	428	637	1293	455
Y	7535	11645	511	1717	1117	573	883	1882	555
X	6987	15755	509	562			726	811	865
Y	11508	21235	328	1265	826	551	747	1289	456
Z	22742	26715				1151			346
Z	12056	19317				1189			402
X	14385	14385	800	672			1311	1391	1746
Z	10001	25071				756			249
Y	7535	20413	335	1230	473	314	739	1438	408
Z	6028	16714				1087			265
Y	3973	14111	264	904	639	404	881	952	367
Z	9590	24249				623			260
Y	12193	15618	441	1773	785	581	777	1569	615
Z	15070	18495				1382			509
Z	14248	20276				1424			423
X	6713	8631	807	863			1608	1350	1550
Y	13563	18769	350	1593	734	497	823	1237	404
Z	1918	16714				1210			387
X	5617	7124	906	960			1231	1183	1828
Y	5617	16988	170	615	335	250	373	684	227
Y	822	19728	147	540	260	250	312	484	208
Z	9453	25893				804			308
Z	16577	25345				1217			391
Y	7946	18495	239	927	428	416	584	1371	390
Z	14385	24797				885			278
Y	5206	18906	254	667	329	292	398	850	281
Z	5480	20139				711			228
Y	18769	18769	370	1601	736	509	819	1563	547
Y	6439	11919	434	1554	783	638	879	1659	620
Y	10001	12878	475	1368	815	500	757	1381	421
Z	4795	21783				665			287
Z	9727	22605				747			290
X	1370	16029	215	220			325	410	265
Z	18221	22742				1217			361
X	2877	8768	557	668			971	1077	1164
X	1918	6439	612	652			1196	954	1325
Z	5480	10412				1475			552
Z	1096	14796				1127			313
Z	3836	11645				1522			582
Y	411	15481	194	448	263	217	370	687	167
Z	4795	12878				1103			355
Z	3973	4795				2029			633
Y	11234	18906	264	1122	467	403	529	1030	341
Z	9179	19591				901			340
X	6028	8357	789	1181			1638	1476	1714
Z	6302	13563				1425			493
Z	5617	17947				921			350
X	12193	14522	711	865			1045	1455	1378
X	4932	6713	1017	1059			1587	1803	1792
Y	3973	17673	167	656	353	227	309	501	261
Z	2877	21098				725			212
Z	6302	17673				949			326
Z	21372	21646				1073			433
Y	10138	20413	289	1378	576	581	594	1391	467
Y	4110	13700	259	1220	470	415	641	960	444
Z	4521	13152				1195			376
Y	7124	13974	370	1335	670	449	742	1347	404
X	8631	14111	510	690			1148	887	1152
Y	548	14659	163	531	271	268	359	613	169
Z	15207	16988				1706			600
Y	16988	16166	380	1188	706	492	782	1184	459
Z	685	24660				527			184
Y	6850	11782	345	1709	896	636	797	1753	474
Z	6713	19728				753			202
Z	1507	10138				1074			368
Y	11371	19043	302	844	517	369	564	1100	347
Z	3425	6576				1308			443
Z	8768	21783				977			256
Z	12193	21372				837			275
Z	3973	23016				580			204
Z	1781	3151				1566			628
Y	18769	18221	348	1413	755	551	700	1515	473
X	8494	15481	320	455			630	768	723
W	2877	4384	569	903		422	738	808	705
Y	3151	20413	156	502	247	222	549	573	234
X	3288	15755	190	177			343	309	553
Z	9864	23701				805			243
X	6713	13563	485	462			956	1103	995
Z	23016	26578				1160			452
W	6165	8083	425	826		423	875	748	625
Y	548	9590	207	935	545	341	615	1070	351
X	2877	6850	582	832			1131	1277	1142
Y	5891	12604	311	1414	568	548	955	1123	425
Z	10549	25345				908			295
Y	13837	18769	370	1244	890	444	944	1519	460
Z	5343	11645				1507			479
Y	2740	19180	94	443	144	121	203	303	162
Z	5754	14111				1405			491
W	0	274	571	1028		575	911	962	1024
Z	137	12467				1351			299
Y	3288	7261	511	1927	677	534	960	1506	596
Z	13974	25345				1278			376
Y	17673	14933	265	1473	666	472	765	1353	425
Y	3836	11782	230	1168	482	418	520	1291	306
Y	9727	9864	531	2372	1025	744	1307	2052	596
Y	7398	21509	249	963	650	365	685	768	354
Y	4110	12330	254	883	487	373	511	847	312
Y	1507	7809	351	1260	676	390	684	1368	474
X	9316	13974	704	628			1148	971	1291
Z	7124	12741				1380			400
X	10686	13015	754	956			1206	1432	1460
Z	3836	18358				931			314
X	2466	4247	571	676			845	1260	1093
X	0	9864	274	329			521	529	741
Y	685	11645	192	711	382	318	551	723	220
Z	6302	21235				872			264
Z	3973	23153				474			164
Z	1918	17536				594			276
Z	25619	26304				1275			421
Y	18358	16988	257	990	520	375	571	1171	349
Z	10001	25619				833			316
Z	12467	25756				887			218
Y	4110	16303	142	594	347	219	328	637	189
Z	15892	25756				912			377
X	9042	11508	595	799			828	1322	991
Z	959	17125				727			266
W	8357	10001	448	762		421	559	706	722
Z	2877	9453				1427			351
Z	21646	22468				1473			467
W	822	1096	548	915		505	700	829	941
Z	1781	20824				464			188
X	1370	7672	479	666			664	890	1109
X	3151	12467	264	326			480	557	617
Z	9316	13700				1400			575
Z	6028	18632				958			285
Z	1233	23153				664			221
W	6713	10823	468	969		469	807	861	799
X	548	6439	539	639			804	919	1163
Y	11782	11782	469	1921	854	584	1197	1959	630
Y	5343	19865		797	551	313	407	903	308
Z	20824	26167				973			285
Y	13700	14111	486	2091	998	627	1144	1668	655
Z	8083	19865				743			189
Y	3014	10960	385	1064	538	376	623	1044	444
Z	4658	6439				1562			451
X	4932	11508	459	706			897	1029	1062
Z	1233	6302				1138			481
X	5480	10138	883	946			1187	1469	1535
Y	12878	16303	351	1362	784	382	709	919	404
Z	2329	6987				1877			569
X	8494	11371	656	845			1105	1139	1134
Z	19591	23153				996			386
X	3973	13563	357	372			952	678	699
Y	21372	17262	354	1276	774	556	856	1315	384
Z	7672	9316				1079			469
Z	26167	26989				1371			533
Z	14248	26715				1069			254
Y	0	4658		1692	589	475	639	1364	404
Y	548	5206	347	1302	686	446	684	1384	443
Z	10549	12878				1369			433
X	3288	13289	485	429			710	591	814
Z	22057	23701				1460			450
Z	6850	17399				906			262
Y	1644	13700	156	797	330	286	369	570	200
Y	3014	7946	408	1325	728	455	697	1324	498
Y	1233	16029	110	448	253	194	254	440	213
Z	5069	15207				1258			341
X	1370	9042	393	422			601	538	794
Z	14522	25208				1009			333
Y	5891	15481	211	1090	391	334	560	1099	349
Z	14248	17947				1541			525
Z	5891	7672				1178			417
Z	11782	24523				829			304
Y	10823	15207	488	1742	888	484	933	1382	544
Z	9042	14796				1576			470
Z	13152	20550				1015			340
Y	274	20002	141	747	232	131	125	338	119
W	1918	8220	174	393		181	340	353	352
Y	6302	7535	561	2120	1168	913	1263	1942	786
W	959	2055	414	668		465	729	711	682
X	3425	10549	465	595			809	774	916
Z	7946	13289				1111			423
Z	20139	21509				1341			354
X	15892	16166	723	698			1037	1397	1127
X	959	9042	331	373			570	757	741
Z	9590	23701				798			267
Z	14248	14248				2133			617
Z	6576	7398				1562			498
Y	1918	3973	348	1317	672	431	676	1335	444
X	7398	12056	531	824			1144	1063	1444
Z	2466	4658				1415			629
Y	4247	19043	227	765	341	256	401	897	289
Z	11508	14248				1597			557
Z	548	9316				1142			353
X	411	8083	263	429			552	568	708
W	3151	5891	435	642		453	726	763	659
Y	18084	17947	395	1310	609	590	835	1303	586
Z	3836	14248				1385			502
Z	3014	23153				457			306
X	685	4658	460	661			1148	1193	1492
X	4658	6576	864	1309			1922	1816	1692
Y	1918	5069	321	1130	606	384	635	1130	456
X	7261	8083	706	711			1216	1250	1354
Z	6576	9316				1341			520
Z	6302	25345				684			269
Z	5343	21646				915			282
Z	17810	18358				1571			444
Z	18769	26989				979			284
X	5617	9590	776	984			1478	1396	1647
Z	24660	26304				1622			438
X	3425	7124	618	751			1051	1107	1241
X	274	5206	453	605			991	939	856
Z	1370	6987				1542			547
Y	137	20961	33	480	101	55	269	472	40
X	274	1918	483	597			975	1089	1269
Y	16029	15481	435	1607	942	583	772	1759	541
W	1507	7672	230	495		335	459	449	384
X	137	15344	186	182			400	348	274
Y	411	14248	214	622	404	269	387	821	375
X	7398	11508	616	758			1016	1244	1383
Y	11097	14385	351	1363	569	449	780	1586	482
Y	3562	6439	366	1655	768	458	986	1487	516
Y	10412	16714	303	1192	639	456	737	1227	397
Z	12056	19728				1282			366
Z	9042	23701				843			297
Z	14111	14933				1837			586
Z	12467	23701				1145			448
Z	3562	10001				1533			524
X	137	1644	547	899			1118	1166	1438
Y	7809	16714	272	846	741	389	644	1105	302
Y	3288	3288	439	1306	581	603	1064	1447	540
Z	9727	12467				1394			427
Y	959	12193	205	752	385	264	404	785	338
Z	10686	16714				1110			457
Y	2603	19043	88	310	255	137	182	356	128
Y	3562	10001	277	1041	570	435	576	943	361
Z	6302	27263				351			100
Z	9590	19317				1024			364
Z	5891	19180				937			253
Z	11645	21920				1043			422
Z	4384	11371				1638			563
Z	2466	26852				541			183
X	9453	10138	785	995			1560	1360	1592
Y	4521	20276	125	558	292	197	320	488	218
Z	4932	19043				1012			322
Z	548	22742				337			157
Z	7946	9453				1406			415
X	5891	6987	836	1044			1573	2029	1867
Z	7809	16714				1235			519
Z	274	16440				1151			322
Z	13015	15344				1293			554
X	4384	6850	969	1219			2018	1642	1936
Z	5891	6576				1431			450
Z	18221	19454				1170			411
Z	14659	23975				997			329
W	6576	10412	495	952		543	770	856	1028
Z	13015	25345				1044			293
X	12330	15344	572	678				916	1197
W	2192	7124	333	822		382	686	708	686
X	5069	5343	1001	1443			2043	1904	2085
Z	3425	21235				804			252
Y	11097	19180	223	1263	447	357	514	1046	308
Z	9042	13837				1656			544
Z	6439	18358				1027			305
Y	18906	15070	350	1125	864	400	778	1322	395
Z	18906	22331				1199			385
Z	8494	9042				1525			454
X	274	8494	319	347			757	588	596
Z	9453	24934				692			210
Z	137	10138				1058			333
Z	19728	20550				999			413
W	7124	9316	444	1057		509	874	849	874
Z	18769	24112				992			275
X	3562	6576	804	945			1219	1441	1560
Z	5343	19454				882			256
Y	1918	6028	363	1362	607	503	640	1009	353
X	1644	6713	464	607			951	1204	1272
Z	18906	26989				763			263
Z	6576	7672				1589			454
W	2877	2877	512	983		445	718	778	721
Z	2192	17125				704			249
Z	7261	9864				1361			415
